"SalePrice","LotArea","TotalBsmtSF","MoSold","BedroomAbvGr","FullBath","YearBuilt","PavedDrive","MSZoning","LandContour","BldgType","ExterQual","Functional"
181500,9600,1262,5,3,2,1976,"Y","RL","Lvl","1Fam","TA","Typ"
223500,11250,920,9,3,2,2001,"Y","RL","Lvl","1Fam","Gd","Typ"
140000,9550,756,2,3,1,1915,"Y","RL","Lvl","1Fam","TA","Typ"
250000,14260,1145,12,4,2,2000,"Y","RL","Lvl","1Fam","Gd","Typ"
143000,14115,796,10,1,1,1993,"Y","RL","Lvl","1Fam","TA","Typ"
307000,10084,1686,8,3,2,2004,"Y","RL","Lvl","1Fam","Gd","Typ"
2e+05,10382,1107,11,3,2,1973,"Y","RL","Lvl","1Fam","TA","Typ"
129900,6120,952,4,2,2,1931,"Y","RM","Lvl","1Fam","TA","Other"
118000,7420,991,1,2,1,1939,"Y","RL","Lvl","2fmCon","TA","Typ"
129500,11200,1040,2,3,1,1965,"Y","RL","Lvl","1Fam","TA","Typ"
144000,12968,912,9,2,1,1962,"Y","RL","Lvl","1Fam","TA","Typ"
90000,10791,0,10,2,2,1967,"Y","RL","Lvl","Duplex","TA","Typ"
139000,7560,1029,5,3,1,1958,"Y","RL","Lvl","1Fam","TA","Other"
325300,14215,1158,11,4,3,2005,"Y","RL","Lvl","1Fam","Gd","Typ"
139400,7449,637,6,3,1,1930,"Other","RM","Bnk","1Fam","TA","Typ"
230000,9742,1777,9,3,2,2002,"Y","RL","Lvl","1Fam","Gd","Typ"
129900,4224,1040,6,3,1,1976,"Y","RM","Lvl","TwnhsE","TA","Typ"
154000,8246,1060,5,3,1,1968,"Y","RL","Lvl","1Fam","TA","Typ"
256300,14230,1566,7,3,2,2007,"Y","RL","Lvl","1Fam","Gd","Typ"
134800,7200,900,5,3,1,1951,"Y","RL","Lvl","1Fam","TA","Typ"
306000,11478,1704,5,3,2,2007,"Y","RL","Lvl","1Fam","Gd","Typ"
68500,6324,520,5,1,1,1927,"Y","RM","Lvl","1Fam","TA","Typ"
40000,8500,649,7,3,1,1920,"Other","Other","Lvl","1Fam","TA","Typ"
149350,8544,1228,6,3,1,1966,"Y","RL","Lvl","1Fam","TA","Typ"
179900,11049,1234,1,3,2,2007,"Y","RL","Lvl","1Fam","Gd","Typ"
165500,10552,1398,4,4,1,1959,"Y","RL","Lvl","1Fam","TA","Typ"
309000,13418,1117,9,4,3,2004,"Y","RL","Lvl","1Fam","Gd","Typ"
145000,10859,1097,6,3,1,1994,"Y","RL","Lvl","1Fam","TA","Typ"
109000,7922,1057,1,3,1,1953,"Y","RL","Lvl","1Fam","TA","Typ"
170000,16905,1350,7,2,1,1959,"Other","RL","Lvl","1Fam","TA","Typ"
144000,9180,840,12,2,1,1983,"Y","RL","Lvl","1Fam","TA","Typ"
130250,9200,938,7,3,1,1975,"Y","RL","Lvl","1Fam","TA","Typ"
319900,7658,1752,2,2,2,2005,"Y","RL","Lvl","TwnhsE","Other","Typ"
239686,12822,1434,8,1,1,2003,"Y","RL","Lvl","1Fam","Gd","Typ"
249700,11096,1656,7,3,2,2006,"Y","Other","Lvl","1Fam","Gd","Typ"
127000,7742,955,1,3,1,1966,"Y","RL","Lvl","1Fam","TA","Typ"
177000,13869,794,7,3,2,1997,"Y","RL","Lvl","1Fam","TA","Typ"
114500,6240,816,9,3,1,1934,"Y","RM","Lvl","1Fam","TA","Typ"
110000,8472,816,5,2,1,1963,"Y","RM","Bnk","Duplex","Other","Typ"
385000,50271,1842,11,0,0,1981,"Y","RL","Low","1Fam","Gd","Typ"
130000,7134,384,2,3,1,1955,"Y","RL","Bnk","1Fam","TA","Other"
